epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.7153575404897912,0.3158600971554265,1.6290263184185685,0.3554930928452262
2,1.6135452954800098,0.3602963759527578,1.5960363827902695,0.364921972155571
3,1.5819989349934962,0.37632447790789914,1.573276371791445,0.37401978620167436
4,1.5539680254923833,0.3898827805147543,1.5586330746782238,0.3833139672361571
5,1.531366980953134,0.40211386301300744,1.543574670265461,0.3895717566383296
6,1.5106722875074907,0.41335501492797555,1.5378673405482852,0.3954481718869045
7,1.4867831731771495,0.4268520753104965,1.52486665701044,0.397530315251186
8,1.459356282180522,0.4371983590838197,1.5191765345376114,0.40501174947311136
9,1.4278667963944471,0.4514952249083168,1.492209621544542,0.41511412016276655
10,1.3914350080283688,0.46743740483279866,1.4664341005785713,0.4283989405837552
11,1.3509137233098347,0.4844060782746319,1.4409737011481976,0.43814752533518037
12,1.3117297763948317,0.49979707792207795,1.4204274662609757,0.4449554681777954
13,1.2759318795555081,0.5163964694970614,1.4081294433823948,0.449939304384692
14,1.240076972550644,0.5274191601967915,1.3715388404911961,0.46591809032292203
15,1.2065108454588689,0.5410770957088058,1.3720881219567924,0.4557654107439107
16,1.1770129763718806,0.5522460365966285,1.3365269282768513,0.46968964204705993
17,1.150484935803847,0.5592048013365114,1.3273792287399029,0.4733378558323301
18,1.1275761524836223,0.5698051948051948,1.3205163561064621,0.483428866184991
19,1.1088112894590798,0.57587183373315,1.303252793591598,0.48223930186238784
20,1.0906561798863597,0.5830755674993837,1.299326123862431,0.4844447836793702
21,1.0728358745058895,0.5883981588082913,1.3021906038810467,0.4849722164458242
22,1.057140117083793,0.5963459401935726,1.296737352321888,0.4819585454875025
23,1.0434330676025125,0.5996968965509754,1.3037443818717167,0.4793262491966116
24,1.0309295739446367,0.6054737774324623,1.2989463703385715,0.48801996790129565
25,1.0165822015696273,0.6122936043904458,1.3126164181479092,0.4816777885987841
26,1.0060761369668043,0.6163922648925286,1.2972242976057118,0.488693459280606
27,0.9935484484676674,0.6200658857048332,1.3040124794532513,0.4889514954953358
28,0.982357001407838,0.6265657905376318,1.3092484597502083,0.489967412989715
29,0.9706723266865784,0.6319313428618691,1.3140091053370773,0.488693459280606
30,0.9599448656622982,0.6336954852719328,1.3149410917841156,0.4907025730815427
