episode,episode_return,episode_steps,epsilon,loss,buffer_size,delivered,dropped,energy,depletion_events
24,-77.35600000000005,69,0.91203,8.989470145281624,1853,36,13,11.5359999999998,8
25,-385.582,77,0.9083725,10.160370374980726,1930,38,35,11.881999999999787,8
26,-353.10100000000006,57,0.905665,9.178152595247541,1987,31,26,10.02099999999983,8
27,-130.56599999999992,68,0.902435,12.654024516834932,2055,39,19,11.805999999999791,8
28,-93.46500000000015,55,0.8998225,12.583347831453596,2110,34,13,8.394999999999868,8
29,556.2239999999995,163,0.89208,11.122030467521853,2273,80,14,22.146000000000665,8
30,8.242999999999967,89,0.8878525,10.194066871296275,2362,49,20,14.806999999999736,8
31,-712.1580000000002,94,0.8833875,10.456304172674814,2456,46,64,14.46799999999973,8
32,165.65199999999976,87,0.879255,11.108785810924712,2543,45,6,13.067999999999792,8
33,-60.38799999999996,89,0.8750275,11.139629674994428,2632,52,28,14.297999999999705,8
34,-15.632000000000069,61,0.8721300000000001,11.288238430023194,2693,35,8,10.271999999999823,8
35,-98.96400000000008,80,0.86833,9.489758324623107,2773,45,22,13.863999999999745,8
36,-372.116,80,0.86453,10.35014271736145,2853,41,36,11.865999999999792,8
37,-222.20500000000004,62,0.861585,10.696113427480062,2915,35,22,10.854999999999812,8
38,-191.157,59,0.8587825,10.346591567993164,2974,35,20,10.516999999999808,8
39,84.38799999999999,93,0.854365,12.626547191454017,3067,44,10,13.331999999999812,8
40,-249.71300000000002,56,0.851705,12.233823265348162,3123,30,19,9.252999999999847,8
41,25.976999999999975,63,0.8487125,12.240273833274841,3186,33,4,8.872999999999886,8
42,-999.9999999999999,89,0.8444849999999999,12.024674133820968,3275,47,87,13.969999999999724,7
43,-86.18900000000008,63,0.8414925,11.078376114368439,3338,35,13,10.478999999999818,8
44,-177.99400000000003,79,0.83774,10.895758295059204,3417,46,30,12.373999999999777,8
45,-361.78500000000014,69,0.8344625,10.952707851634306,3486,34,29,10.78499999999981,8
46,-21.16300000000001,91,0.83014,10.668016247127367,3577,45,18,14.72299999999974,8
47,-224.9759999999999,85,0.8261025,10.50669172831944,3662,48,35,14.735999999999734,8
48,-523.3700000000001,75,0.82254,10.148195567883944,3737,39,46,11.459999999999797,8
49,-176.72900000000004,62,0.819595,11.784593836466472,3799,34,18,10.938999999999814,8
50,-144.00399999999996,54,0.81703,11.830847672053746,3853,27,9,8.83399999999986,8
51,-628.0909999999998,95,0.8125175,11.173009236653646,3948,47,58,15.27099999999973,8
52,-109.17400000000018,89,0.80829,11.657448161732066,4037,44,21,13.44399999999976,8
53,-56.71399999999998,78,0.804585,12.901810796637283,4115,43,18,13.353999999999777,8
54,-144.02200000000005,65,0.8014975,13.50691812178668,4180,35,16,11.631999999999794,8
