epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.7122093237839735,0.31226633211751004,1.6468393309363003,0.3460507084583414
2,1.605879359431081,0.36734430343557745,1.6161957568135754,0.3536572903394699
3,1.5721800838197981,0.3782221566547047,1.5898978134681439,0.37540719118611565
4,1.5441724660592677,0.3944559228884709,1.580030151482286,0.37541493259627245
5,1.5220296130035862,0.4062991931840971,1.5712289070260936,0.3764135575500028
6,1.5021244901599307,0.41613169033806047,1.5593676813717545,0.38712594118611565
7,1.4778723412261896,0.4300810458598199,1.5470148448286385,0.39049339808266736
8,1.44967085148865,0.44229633996496986,1.5393566427559688,0.3960005450865318
9,1.4122933665395299,0.4619244392558094,1.5152066904923012,0.40253728217092055
10,1.3715475529303283,0.4807869687482908,1.4850860608035121,0.4177024498068053
11,1.3269824594646304,0.49889622699646724,1.466010453372166,0.4279085536455286
12,1.2842764807985974,0.5160708137146839,1.4333307866392464,0.4386209372816415
13,1.2431041987943443,0.5308195592521073,1.3984321026966489,0.45027620884878883
14,1.208371569067885,0.5414483717509678,1.377386095194981,0.4553312648986948
15,1.1778765942627218,0.548787386902483,1.3670092882781193,0.4623835713698946
16,1.1490986548460924,0.5605906877682839,1.3452747464179993,0.46790620068023947
17,1.126785100796522,0.5682187131989054,1.3380726452531486,0.46615512309403256
18,1.1064216360385284,0.5771472846274768,1.3444641499683774,0.46608390273718997
19,1.0864253296996609,0.582057383927432,1.330283288297982,0.4723667260901681
20,1.0708975577767277,0.5929475354425835,1.3263001626935498,0.47513191145041894
21,1.0563940790308501,0.5961573936722495,1.33001466660664,0.4754013080021431
22,1.0420169724530473,0.6022266085013682,1.3216816782951355,0.4795057347108578
23,1.0267773348015625,0.6080959759233318,1.3356683911948368,0.47816649336239386
24,1.0155402538064238,0.6106755459979499,1.3269618050805454,0.4750452093009291
25,1.0034645055279587,0.6185987307911828,1.3419816206241477,0.47323065276803644
26,0.9929166681322701,0.6207540092014131,1.3322141232161686,0.4763999329558734
27,0.9801113226196982,0.6267371360873764,1.3351098915626263,0.4749337347417042
28,0.970269272595773,0.6305004180251778,1.3354211408516456,0.4773505622970647
29,0.959620670322732,0.6350784632034632,1.3472583006168235,0.4719626312625819
30,0.9487280432796066,0.6397026268950788,1.3522416024372494,0.4710832217644001
