episode,episode_return,episode_steps,epsilon,loss,buffer_size,delivered,dropped,energy,depletion_events
49,-3.029999999999937,36,0.8903066666666667,1.4459597998195224,1733,28,1,8.029999999999891,8
50,-32.98999999999993,33,0.8882166666666667,1.6093869656324387,1766,25,0,7.989999999999887,8
51,-47.95700000000002,34,0.8860633333333333,1.3787852856847975,1800,25,1,7.95699999999989,8
52,-33.00200000000015,34,0.88391,1.138364553451538,1834,26,1,8.001999999999876,8
53,-33.018,33,0.88182,1.4448592215776443,1867,25,0,8.017999999999905,8
54,-18.018000000000107,35,0.8796033333333333,1.4161046610938177,1902,27,1,8.017999999999885,8
55,-2.993000000000052,35,0.8773866666666666,1.2473021811909146,1937,27,0,7.992999999999885,8
56,-33.01200000000003,33,0.8752966666666666,1.0767390429973602,1970,25,0,8.011999999999885,8
57,-32.998999999999995,33,0.8732066666666667,1.1989087909460068,2003,25,0,7.998999999999867,8
58,6.036000000000058,37,0.8708633333333333,1.762144672870636,2040,29,1,7.963999999999874,8
59,-107.99100000000007,30,0.8689633333333333,1.7516571623938424,2070,22,2,7.990999999999873,8
60,-113.31700000000014,32,0.8669366666666667,1.2367008179426193,2102,24,4,8.016999999999872,8
61,-24.121000000000095,34,0.8647833333333333,1.2808721197976007,2136,26,0,8.020999999999875,8
62,-2.9820000000000277,35,0.8625666666666667,1.2938154339790344,2171,27,0,7.9819999999998785,8
63,-78.02299999999997,31,0.8606033333333334,1.321048405021429,2202,23,1,8.022999999999874,8
64,15.67599999999993,37,0.85826,0.9826584855715433,2239,29,0,8.023999999999873,8
65,-33.010999999999925,33,0.85617,1.1105154984527164,2272,25,0,8.010999999999868,8
66,-33.014999999999986,34,0.8540166666666666,1.1968638747930527,2306,26,1,8.014999999999874,8
67,-108.01099999999997,33,0.8519266666666667,1.3143109306693077,2339,25,5,8.010999999999873,8
68,-59.573000000000036,33,0.8498366666666667,1.1989606155289545,2372,25,1,7.972999999999874,8
69,-33.012000000000036,33,0.8477466666666666,1.2690496444702148,2405,25,0,8.011999999999905,8
70,-23.979000000000013,37,0.8454033333333333,1.2053629689746432,2442,28,2,7.978999999999875,8
71,26.970999999999975,37,0.84306,1.0312535696559482,2479,29,0,8.02899999999988,8
72,-33.006999999999934,33,0.84097,1.1856211490101285,2512,25,0,8.006999999999877,8
73,-33.03600000000008,35,0.8387533333333334,1.0772834569215775,2547,27,2,8.035999999999873,8
74,27.000000000000085,38,0.8363466666666667,1.1571627885103226,2585,30,1,7.999999999999864,8
75,-123.01799999999999,30,0.8344466666666667,1.329739170415061,2615,22,3,8.017999999999862,8
76,-123.00600000000003,30,0.8325466666666667,1.4648797437548637,2645,22,3,8.005999999999895,8
77,-68.11499999999998,32,0.83052,1.1268111169338226,2677,24,1,8.014999999999874,8
78,-33.02399999999993,33,0.82843,1.2763278037309647,2710,25,0,8.023999999999875,8
79,11.982,36,0.82615,1.2032891909281414,2746,28,0,8.017999999999873,8
80,-3.014999999999958,35,0.8239333333333334,1.182739131980472,2781,27,0,8.014999999999882,8
81,-33.02599999999998,33,0.8218433333333334,1.3449416309595108,2814,25,0,8.025999999999868,8
82,-62.968000000000075,32,0.8198166666666666,1.0875649526715279,2846,24,1,7.967999999999875,8
83,-92.98500000000004,31,0.8178533333333333,0.8543811477720737,2877,23,2,7.98499999999987,8
84,-88.38299999999998,33,0.8157633333333334,1.262287624180317,2910,24,2,7.982999999999874,8
85,-3.0370000000000346,35,0.8135466666666666,1.108684715297487,2945,27,0,8.036999999999873,8
