episode,episode_return,episode_steps,epsilon,loss,buffer_size,delivered,dropped,energy,depletion_events
32,-17.974000000000046,34,0.92875,1.5579289719462395,1126,26,0,7.973999999999918,8
33,-3.0100000000000193,35,0.9265333333333333,1.3931243088510301,1161,27,0,8.009999999999868,8
34,-78.01000000000002,30,0.9246333333333333,1.5386274712426322,1191,22,0,8.00999999999987,8
35,-33.031999999999925,33,0.9225433333333334,1.5030868185891046,1224,25,0,8.031999999999874,8
36,-17.97800000000001,34,0.92039,1.5419493541121483,1258,26,0,7.977999999999875,8
37,-38.72,36,0.91811,1.546462184853024,1294,27,2,8.019999999999873,8
38,-32.975000000000044,33,0.9160200000000001,1.4466679617762566,1327,25,0,7.974999999999863,8
39,11.95200000000002,37,0.9136766666666667,1.3402470767498016,1364,29,1,8.047999999999929,8
40,-47.80100000000004,36,0.9113966666666666,1.096167763074239,1400,27,3,7.8009999999998785,8
41,-53.22200000000002,35,0.90918,1.1900379806756973,1435,27,3,8.021999999999895,8
42,-108.01500000000007,33,0.90709,1.66003065639072,1468,24,4,8.01499999999985,8
43,-18.038999999999987,35,0.9048733333333333,1.4899461567401886,1503,27,1,8.038999999999872,8
44,26.98700000000003,37,0.90253,1.492160576581955,1540,29,0,8.01299999999987,8
45,-2.9899999999999807,35,0.9003133333333333,1.6628960967063904,1575,27,0,7.989999999999865,8
46,-77.98599999999999,32,0.8982866666666667,1.1773021519184113,1607,24,2,7.985999999999914,8
47,-18.034999999999883,36,0.8960066666666666,1.529404468006558,1643,27,1,8.034999999999906,8
48,26.98400000000001,37,0.8936633333333334,1.0075027972459794,1680,29,0,8.015999999999883,8
49,-3.0179999999999296,35,0.8914466666666667,1.2130632624030113,1715,27,0,8.017999999999883,8
50,-78.00699999999998,32,0.88942,1.373482346534729,1747,24,2,8.006999999999884,8
51,-62.964000000000006,35,0.8872033333333333,1.1143953998883565,1782,25,2,7.963999999999894,8
52,-48.003000000000014,33,0.8851133333333333,1.01561488956213,1815,25,1,8.002999999999872,8
53,-33.019000000000055,35,0.8828966666666667,1.1685482793384128,1850,26,1,8.018999999999911,8
54,-33.02200000000002,34,0.8807433333333333,1.403376771344079,1884,26,1,8.02199999999987,8
55,-17.984000000000066,34,0.87859,1.2391186207532883,1918,26,0,7.983999999999883,8
56,11.99199999999999,36,0.87631,1.327512436442905,1954,28,0,8.007999999999889,8
57,-63.021000000000036,33,0.87422,1.0380359515547752,1987,25,2,8.020999999999868,8
58,-17.964000000000055,38,0.8718133333333333,1.2346111476421355,2025,28,2,7.963999999999874,8
59,12.008999999999958,36,0.8695333333333333,1.6013558838102553,2061,28,0,7.990999999999873,8
60,-78.01700000000002,33,0.8674433333333333,1.3199156895279884,2094,25,3,8.016999999999873,8
61,-88.72100000000003,31,0.86548,1.2098024040460587,2125,23,1,8.020999999999875,8
62,11.998000000000125,36,0.8632,1.4129927158355713,2161,28,0,8.001999999999883,8
63,-30.726000000000063,34,0.8610466666666667,1.4892773777246475,2195,26,0,8.025999999999875,8
64,-33.027000000000115,34,0.8588933333333333,1.0100843111673992,2229,26,1,8.026999999999875,8
65,-3.011999999999972,35,0.8566766666666666,1.1063589983516269,2264,27,0,8.011999999999869,8
66,-63.01500000000005,33,0.8545866666666667,1.0353200361132622,2297,25,2,8.014999999999874,8
67,-78.02600000000007,36,0.8523066666666667,1.292765862411923,2333,27,5,8.025999999999874,8
68,6.928999999999917,36,0.8500266666666667,1.0919486284255981,2369,28,0,7.970999999999874,8
69,-33.001000000000076,33,0.8479366666666667,1.1739879623055458,2402,25,0,8.000999999999898,8
70,-53.679,36,0.8456566666666667,1.351188944445716,2438,26,2,7.978999999999875,8
71,-3.0180000000000575,36,0.8433766666666667,1.335324439737532,2474,28,1,8.017999999999873,8
72,-3.019999999999989,35,0.84116,1.1862515343560114,2509,27,0,8.019999999999882,8
73,11.967000000000041,36,0.8388800000000001,1.1183201405737135,2545,28,0,8.032999999999873,8
74,11.994999999999948,39,0.83641,1.33447522521019,2584,30,2,8.004999999999864,8
75,-123.02300000000005,31,0.8344466666666667,1.2224374158041817,2615,23,4,8.022999999999865,8
76,-33.008000000000024,34,0.8322933333333333,0.9210979110664792,2649,26,1,8.007999999999884,8
77,-48.02000000000001,33,0.8302033333333334,1.206931047141552,2682,25,1,8.019999999999873,8
78,-48.03000000000003,32,0.8281766666666667,1.2063508704304695,2714,24,0,8.029999999999879,8
79,-33.01200000000004,33,0.8260866666666666,0.890334777534008,2747,25,0,8.011999999999874,8
80,-3.0169999999999675,35,0.82387,1.035807877779007,2782,27,0,8.016999999999877,8
81,-3.033999999999992,35,0.8216533333333333,0.9869176513618894,2817,27,0,8.033999999999853,8
82,12.021999999999963,36,0.8193733333333333,1.073801146613227,2853,28,0,7.9779999999998745,8
83,-98.18300000000005,30,0.8174733333333334,0.9230332459722247,2883,22,1,7.982999999999873,8
